last_name,first_name,email_address,zipcode,city,state,street,homephone,district
Panek,Michael,dntisler@jumpstartlab.com,84105,Salt Lake City,UT,1434 Wilson Ave.,8013626000,""
Cebulski,Kate,orazrya1@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl Apt 2,8015505000,""
Engel,Megan,bgc64@jumpstartlab.com,84102,Salt Lake City,UT,219 Elizabeth St.,8015505000,""
Gilbert,Kristen,tpollins6@jumpstartlab.com,84121,Salt Lake City,UT,1343 Ashwood Circle,8015505000,""
Myett,Student,wjang@jumpstartlab.com,84106,Salt lake city,UT,834 E. Pond View Way,8015505000,""
Xx,Adrienne,rrthleen.oflaherty@jumpstartlab.com,84121,Salt Lake City,UT,1213 Medical Plaza,8015505000,""
Ludmer,Eileen,mhulger@jumpstartlab.com,84103,Salt Lake City,UT,723 11th Avenue,8015505000,""
Boozel,Alex,jyhiang@jumpstartlab.com,84103,Salt Lake City,UT,220 A Street,8015505000,""
Berkley,Susan,ceebst.4@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl,8015505000,""
Kopkin,Emma,sxcoffey@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl,8015505000,""
Armacost,Kate,hgle.Saud@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl,8015505000,""
Woolworth,Lindsey,eoeal@jumpstartlab.com,84111,salt lake city,UT,350 south 200 east #406,8013594000,""
Wynn,Rich,vkrenzo.serna@jumpstartlab.com,84109,Salt Lake City,UT,2887 Wainwright Road,8015505000,""
